CETIP,Categoria,Tipo,Especie,DataReferencia,Status,Evento_Identificado,Classificacao,Peso,Resumo
24C1475908,Assembleia,AGE,Ata da Assembleia,1/8/2026,Ativo,Não Identificado,Neutro,0,"Desculpe, mas não há conteúdo no documento fornecido para que eu possa gerar um resumo. O documento PDF está vazio ou não foi carregado corretamente."
24L6097789,Aditamento de Termo de Securitização,,,12/30/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
CRA022005K3,Aditamento de Termo de Securitização,,,12/22/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração do cronograma de Amortização Programada e de pagamento da Remuneração da CPR-F, modificando as datas de pagamento constantes no Anexo II do Termo de Securitização."
CRA022005K3,Aditamento de Termo de Securitização,,,6/23/2025,Ativo,Carência de Pagamento de Juros/Amortização,Negativo,-1,"Aditamento: Alteração do cronograma de pagamentos com nova data de vencimento em 25/10/2028, modificação dos quóruns de deliberação para 50%+1 e inclusão de evento de vencimento antecipado não automático em caso de renegociação de dívida com carência inferior a 18 meses."
CRA02200669,Fato Relevante,,,12/29/2025,Ativo,Não Identificado,Neutro,0,"Assembleia: Assembleia suspensa e reaberta em 19/12/2025, com 69,53% dos CRA presentes. Nova suspensão e reabertura marcada para 20/01/2026 às 15:00, de forma digital via Microsoft Teams."
CRA02300VY2,Fato Relevante,,,12/29/2025,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Fato Relevante: Inadimplemento de parcela de R$ 2.087.888,16 em 26/12/2025, com prazo de cura de 2 dias úteis. Securitizadora mantém esforços para regularização e informará novos desdobramentos."
23L2290714,Aditamento de Termo de Securitização,,,12/29/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Ajuste de casas decimais das taxas de amortização das 9ª e 10ª séries, alteração da denominação social da securitizadora e atualização de contatos, sem modificações na estrutura de fluxo de pagamentos ou garantias."
24I2532795,Fato Relevante,,,1/5/2026,Ativo,Não Identificado,Neutro,0,"Comunicado ao Mercado: CRI 1ª Série passa a ser negociado com Investidores Qualificados. Canais de comunicação alterados para website da Leverage, com divulgação de documentos via Fundos.Net."
22I0246580,Aditamento de Termo de Securitização,,,12/23/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alterações incluem cessão fiduciária de recebíveis da SAF Atlético Mineiro, inclusão de nova conta vinculada, ajuste de índices financeiros e hipóteses de vencimento antecipado não automático das notas comerciais."
21H0953037,Fato Relevante,,,1/2/2026,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Comunicado ao Mercado: Securitizadora informa inadimplência de parcela de Juros Remuneratórios e Amortização da CCB nº 10050024-2, impossibilitando resgate ordinário dos CRI em 24/12/2025."
24I2532795,Aditamento de Termo de Securitização,,,12/29/2025,Ativo,Não Identificado,Neutro,0,"Aditamento altera quantidade de Notas Comerciais, remuneração para 12,68% a.a., prazo até set/2029, regras de amortização e subordinação, inclui mecanismos de venda forçada e cessão de novos créditos. Valor total da emissão passa a R$ 76 milhões."
23J2255808,Aditamento de Termo de Securitização,,,1/16/2026,Ativo,Carência de Pagamento de Juros/Amortização,Negativo,-1,"Aditamento: Alteração da data de vencimento da CCB para 23/08/2028, com carência de 6 meses para pagamento de juros e amortizações, modificando o fluxo de pagamentos do CRI."
21I0776612,Aditamento de Termo de Securitização,,,1/16/2026,Ativo,Prorrogação de vencimento,Negativo,-1,"Aditamento: Alteração do prazo de vencimento para 35 meses, com nova data de vencimento em 23/08/2028, e modificação do Anexo VIII com novo cronograma de amortização e juros remuneratórios."
24L2680288,Aditamento de Termo de Securitização,,,11/17/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Correção da data de encerramento do Patrimônio Separado para 31 de dezembro de cada ano, garantindo o cumprimento de um exercício social de, no mínimo, 12 meses contados da Data de Emissão."
24J4816258,Aditamento de Termo de Securitização,,,12/29/2025,Ativo,Não Identificado,Neutro,0,"Vinculação de novo crédito imobiliário CCI MAKASI04 à 16ª emissão, alterando Anexo II para incluir novo crédito e atualizar quantidade e valor dos CRIs integralizados nas 4 séries."
21B0544455,Fato Relevante,,,1/15/2026,Ativo,Resgate/Recompra Antecipado Facultativo,Positivo,1,"Comunicado ao Mercado: Tecnisa realizará resgate antecipado facultativo de debêntures em 23/01/2026, no valor de R$ 29,6 milhões, com consequente resgate antecipado dos CRI pela Riza Securitizadora."
25A2780890,Aditamento de Termo de Securitização,,,1/9/2026,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração da ordem de pagamentos e do valor do Fundo de Despesas para R$ 50 mil, mantendo a hierarquia de pagamento entre CRI Seniores, Mezaninos e Juniores, com priorização de pagamentos conforme série."
CRA02300CI1,Fato Relevante,,,1/16/2026,Ativo,Aprovado declaração de vencimento antecipado,Negativo,-1,"Comunicado ao Mercado: Securitizadora notifica inadimplemento de debêntures, declarando vencimento antecipado automático e solicitando pagamento do saldo devedor em 2 dias úteis, sob risco de execução de garantias."
CRA022007KK,Aditamento de Termo de Securitização,,,11/27/2025,Ativo,Pedido de Recuperação Judicial/Extrajudicial,Negativo,-1,"Aumento do Valor Total da Emissão de R$ 150 mi para R$ 151 mi, com inclusão de 1.000.000 CRA da 2ª Série para pagamento de despesas de recuperação judicial da Devedora."
CRA022007KK,Aditamento de Termo de Securitização,,,1/13/2026,Ativo,Pedido de Recuperação Judicial/Extrajudicial,Negativo,-1,"Aditamento inclui 2ª série de CRA, modifica cláusulas de depósito e lastro, permitindo emissão de até 1 milhão de certificados a R$1,00 para despesas de recuperação judicial."
24L6097789,Aditamento de Termo de Securitização,,,1/12/2026,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
21G0613844,Aditamento de Termo de Securitização,,,1/9/2026,Ativo,Carência de Pagamento de Juros/Amortização,Negativo,-1,"Aditamento: Concessão de carência de 12 meses para pagamentos, alteração do Anexo VIII com novo cronograma de amortização de principal e juros remuneratórios, sem modificação de garantias."
23J1092517,Aditamento de Termo de Securitização,,,1/9/2026,Ativo,Carência de Pagamento de Juros/Amortização,Negativo,-1,"Aditamento: Altera fluxo de pagamento com carência de 12 meses, dispensa de atualização semestral dos créditos e possibilidade de vencimento antecipado por não pagamento de obrigações pecuniárias."
21L0823062,Aditamento de Termo de Securitização,,,12/23/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alterações incluem cessão fiduciária de novos recebíveis da SAF, inclusão de nova conta vinculada, ajuste no cálculo do ICSD e modificação de hipóteses de vencimento antecipado não automático das notas comerciais."
25B3690940,Aditamento de Termo de Securitização,,,1/9/2026,Ativo,Não Identificado,Neutro,0,"Companhia Província de Securitização emite CRI Série Única da 94ª Emissão, Vórtx como agente fiduciário, lastro em direitos creditórios da Swiss Park, valor total R$ 15.000.000,00."
24L3357433,Aditamento de Termo de Securitização,,,11/17/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Correção da data de encerramento do Patrimônio Separado para 31 de dezembro de cada ano, garantindo um exercício social de, no mínimo, 12 meses contados da Data de Emissão."
CRA02300N5D,Fato Relevante,,,1/13/2026,Ativo,Pedido de Recuperação Judicial/Extrajudicial,Negativo,-1,"Comunicado ao Mercado: Riza Securitizadora informa pedido de Recuperação Judicial do Grupo Uniggel, o que configura Vencimento Antecipado Automático da CPR-F e Resgate Antecipado dos CRA."
CRA0250038P,Aditamento de Termo de Securitização,,,1/9/2026,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA024006N6,Fato Relevante,,,1/9/2026,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Comunicado ao Mercado: Securitizadora informa desenquadramento do Fundo de Reserva e inadimplemento de obrigações não pecuniárias, permanecendo em interlocução com investidores e devedora para regularização."
CRA024006N5,Fato Relevante,,,1/9/2026,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Comunicado ao Mercado: Securitizadora informa desenquadramento do Fundo de Reserva e inadimplemento de obrigações não pecuniárias, permanecendo em interlocução com investidores e devedora para regularização."
24J0003801,Fato Relevante,,,1/20/2026,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Comunicado ao Mercado: Identificado inadimplemento de remuneração em 19/01/2026, com prazo de cura de 5 dias úteis. Securitizadora mantém interlocução com devedora e submeterá encaminhamentos à assembleia de CRI."
24I1963438,Fato Relevante,,,1/20/2026,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Fato Relevante: Inadimplemento de pagamento de Remuneração no dia 19/01/2026, com prazo de cura de 5 dias úteis. Securitizadora mantém interlocução com devedora e submeterá encaminhamentos à Assembleia de Titulares de CRI."
CRA024003PF,Fato Relevante,,,1/20/2026,Ativo,Pedido de Recuperação Judicial/Extrajudicial,Negativo,-1,"Comunicado ao Mercado: Riza Securitizadora informa pedido de Recuperação Judicial do Grupo Uniggel, que pode gerar vencimento antecipado da CPR-F 1, sem afetar a CPR-F 2."
CRA02200815,Aditamento de Termo de Securitização,,,1/15/2026,Ativo,Não Identificado,Neutro,0,"Aditamento: Alterações no termo de securitização, incluindo definições de créditos enquadrados e desenquadrados, exclusão de recompra compulsória, ajustes em amortização antecipada e condições de revolvência dos créditos do agronegócio."
CRA021000S9,Aditamento de Termo de Securitização,,,1/8/2026,Ativo,Não Identificado,Neutro,0,"Alteração do Valor Mínimo do Fundo de Reserva para R$ 50.000,00 após Amortização Extraordinária Facultativa da 2ª Série em 23/09/2025. Mudança da razão social para Riza Securitizadora S.A. em 12/12/2025."
22F1035289,Aditamento de Termo de Securitização,,,12/24/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
18L1210133,Aditamento de Termo de Securitização,,,12/19/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
25L2914176,Aditamento de Termo de Securitização,,,12/22/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
25L3001403,Aditamento de Termo de Securitização,,,12/19/2025,Ativo,Não Identificado,Neutro,0,"Retificação do Anexo I do Termo de Securitização para atender exigências da B3, sem alterações em outras cláusulas contratuais."
25H3737311,Aditamento de Termo de Securitização,,,12/18/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração dos conceitos de atualização monetária (NIk e NIk-1) e do conceito de dut, com efeitos retroativos à data de integralização dos CRI em 28/08/2025, mantendo as demais condições do termo original."
25L0950633,Aditamento de Termo de Securitização,,,12/18/2025,Ativo,Não Identificado,Neutro,0,"Aditamento ajusta valor, quantidade e remuneração de CRIs em 3 séries, lastreados em notas comerciais da BRZ Empreendimentos, após procedimento de bookbuilding."
23L2290714,Aditamento de Termo de Securitização,,,12/11/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: ValidationException - An error occurred (ValidationException) when calling the Converse operation: The model returned the following errors: Input is too long for requested model.
CRA02500BKP,Aditamento de Termo de Securitização,,,12/19/2025,Ativo,Não Identificado,Neutro,0,Ocorreu um erro: DependencyError - PyCryptodome is required for AES algorithm
CRA02500BVT,Aditamento de Termo de Securitização,,,12/18/2025,Ativo,Não Identificado,Neutro,0,"Alteração de 5 para 4 séries, cancelando a quarta. Valor total aumentado para R$2,375 bilhões, redistribuído entre Primeira (R$966,635 mi), Segunda (R$794,971 mi), Terceira (R$191,358 mi) e Quinta (R$422,036 mi) séries."
CRA02200DKZ,Aditamento de Termo de Securitização,,,12/16/2025,Ativo,Não Identificado,Neutro,0,Remuneração dos CRA alterada para 10% a.a. até 31/07/2027 e 12% a.a. a partir de 01/08/2027. Inclusão de nova garantia de cessão fiduciária sobre recursos de contrato de fabricação e conta corrente.
CRA0220040H,Aditamento de Termo de Securitização,,,12/16/2025,Ativo,Não Identificado,Neutro,0,Alteração da remuneração para 10% a.a. até jul/2027 e 12% a.a. após. Inclusão de nova garantia de cessão fiduciária sobre recursos de contrato de fabricação e conta corrente.
CRA02300VY4,Aditamento de Termo de Securitização,,,12/16/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
CRA02300VY3,Aditamento de Termo de Securitização,,,12/16/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
24J4816258,Aditamento de Termo de Securitização,,,12/12/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Inclusão de 3 novos créditos imobiliários em 01 e 12/12/2025, vinculados à emissão, com alteração do valor e quantidade de CRIs integralizados nas séries 1, 2 e 4, sem modificação das garantias ou fluxo de pagamentos."
13I0112712,Aditamento de Termo de Securitização,,,12/16/2025,Cancelado,Waiver para não declarar vencimento antecipado,Negativo,-1,Assembleia: AGT suspensa e reaberta para deliberar sobre vencimento antecipado dos CRI devido ao não pagamento da amortização de julho/2025. Investidores decidiram encerrar a assembleia e convocar nova reunião.
24E1765539,Aditamento de Termo de Securitização,,,12/4/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração das definições de Banco Liquidante (Bradesco), Custodiante e Escriturador (Vórtx), sem modificações no fluxo de pagamentos ou garantias da emissão."
21K0046861,Aditamento de Termo de Securitização,,,12/4/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração das definições de Banco Liquidante (Bradesco), Custodiante e Escriturador (Vórtx), sem modificações no fluxo de pagamentos ou garantias da emissão."
21F1058275,Aditamento de Termo de Securitização,,,12/4/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração das definições de Banco Liquidante (Bradesco), Custodiante e Escriturador (Vórtx), sem modificações no fluxo de pagamentos ou garantias da emissão."
20J0837185,Aditamento de Termo de Securitização,,,12/4/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração das definições de Banco Liquidante (Bradesco), Custodiante e Escriturador (Vórtx), sem modificações no fluxo de pagamentos ou garantias da emissão."
20F0755566,Aditamento de Termo de Securitização,,,12/4/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Alteração das definições de Banco Liquidante (Bradesco), Custodiante e Escriturador (Vórtx), sem impacto no fluxo de pagamentos ou garantias da emissão."
25L2639507,Aditamento de Termo de Securitização,,,12/16/2025,Ativo,Não Identificado,Neutro,0,"Corrigido número e valor das Notas Comerciais da Segunda Série e CRI 2ª Série, ajustando quantidade para 440.221.037 notas, com valor total de R$ 517.907.102,00, mantendo demais condições originais."
25L2639507,Aditamento de Termo de Securitização,,,12/15/2025,Ativo,Não Identificado,Neutro,0,"Alteração das datas de vencimento dos CRI 1ª e 2ª Séries para 19/12/2035, correção de erro no glossário do Termo de Securitização, sem necessidade de aprovação dos investidores."
24K0086735,Aditamento de Termo de Securitização,,,12/12/2025,Ativo,Não Identificado,Neutro,0,"Inclusão de nova alienação fiduciária de quotas, ajuste no índice de cobertura e fundo de obras para CRI Sênior e Subordinada da 82ª Emissão, com novos lastros imobiliários."
25E0175587,Aditamento de Termo de Securitização,,,12/10/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
22E1325261,Aditamento de Termo de Securitização,,,12/10/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Atualização da Conta Centralizadora do patrimônio separado dos CRI, passando a ser a conta corrente nº 6879-9, agência 3391, no Banco Bradesco S.A., em decorrência de sucessão legal por incorporação."
25L0158987,Aditamento de Termo de Securitização,,,12/12/2025,Ativo,Não Identificado,Neutro,0,Aditamento: Alteração do loan to value de 65% para verificação anual do saldo devedor das Debêntures em relação ao valor de venda forçada da Fração Ideal Alienada Fiduciariamente.
25L0158987,Aditamento de Termo de Securitização,,,12/11/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Alteração do fluxo de pagamentos com alocação de R$ 210 milhões na Primeira Série e R$ 50 milhões na Segunda Série, totalizando R$ 260 milhões, com ajustes no Sistema de Vasos Comunicantes e condições de integralização."
CRA02200AHU,Fato Relevante,,,12/15/2025,Ativo,Resgate/Recompra Antecipado Facultativo,Positivo,1,"Comunicado ao Mercado: Girassol Agrícola notifica resgate antecipado facultativo da totalidade das Notas Comerciais da 1ª e 2ª Séries, com cancelamento dos CRA em 18/12/2025."
CRA0250099D,Relatórios,Relatório de Agência de Rating,,12/15/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,Relatório de Agência de Rating: Moody's Local Brasil afirma rating AAA.br (sf) em 15/12/2025 para CRAs da 419ª Emissão da Eco Securitizadora (Risco JBS).
23C0247388,Relatórios,Relatório de Agência de Rating,,11/10/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,"Relatório de Agência de Rating: Relatório de 30/09/2025, rating AAA.br (sf) pela Moody's para CRIs da Virgo Companhia de Securitização."
CRA025007K9,Relatórios,Relatório de Agência de Rating,,12/3/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,"Relatório de Agência de Rating: Rating brA-(sf) pela Austin Rating em 03/12/2025 para CRA Ecoagro Risco Expocacer, série única."
CRA024004S9,Relatórios,Relatório de Agência de Rating,,11/6/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,"Relatório de Agência de Rating: Relatório de 30/09/2025, rating AAA.br (sf) pela Moody's para CRAs da 204ª Emissão da Virgo com lastro em debêntures da JBS."
CRA02300JG1,Relatórios,Relatório de Agência de Rating,,11/6/2025,Ativo,Manutenção de Rating de Agência de Risco,Neutro,0,"Relatório de Agência de Rating: Relatório de 30/09/2025, rating AAA.br (sf) pela Moody's para CRAs da 176ª Emissão da Virgo com lastro em debêntures da JBS."
23K0022038,Fato Relevante,,,12/11/2025,Ativo,Resgate/Recompra Antecipado Facultativo,Positivo,1,"Comunicado ao Mercado: Cogna Educação notifica resgate antecipado facultativo total da 1ª série de debêntures em 12/12/2025, o que resultará no resgate antecipado dos CRIs em 16/12/2025."
24D3430377,Aditamento de Termo de Securitização,,,11/26/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
22H1389755,Aditamento de Termo de Securitização,,,11/27/2025,Ativo,Não Identificado,Neutro,0,"Inclusão da PHV Park Avenue como nova garantidora. Adição de novos direitos creditórios do Contrato de Locação Big Iron, celebrado em 23/09/2024 entre PHV SPE Park Avenue e Big Iron Academia Ltda."
25L0013801,Aditamento de Termo de Securitização,,,12/9/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
24I1827027,Aditamento de Termo de Securitização,,,11/27/2025,Ativo,Não Identificado,Neutro,0,"Alterações em prazos de cura, datas de entrega de empreendimentos, percentuais de atraso de obras, hipoteca em Rio Verde, transferência da Fazenda São Tomaz, cascata de pagamentos, contratação de construtora e definições de investimentos."
CRA02300VT1,Fato Relevante,,,12/11/2025,Ativo,Pedido de Recuperação Judicial/Extrajudicial,Negativo,-1,Comunicado ao Mercado: Bela Sementes protocolou pedido de recuperação extrajudicial. Emissora esclarece que o lastro dos CRAs não compõe o passivo de créditos da recuperação.
CRA02300VSQ,Fato Relevante,,,12/11/2025,Ativo,Pedido de Recuperação Judicial/Extrajudicial,Negativo,-1,Comunicado ao Mercado: Bela Sementes protocolou pedido de recuperação extrajudicial. Securitizadora esclarece que o lastro dos CRAs não compõe o passivo de créditos da recuperação.
CRA0240058Y,Fato Relevante,,,12/10/2025,Ativo,Waiver de Não Pagamento de Juros/Amortização,Negativo,-1,"Comunicado ao Mercado: Não pagamento de Juros Remuneratórios e Amortização da CPR-F e CRA nas datas originais e postergadas, com possível acionamento de cláusula de inadimplemento."
15L0648443,Fato Relevante,,,12/8/2025,Ativo,Resgate/Recompra Antecipado Facultativo,Positivo,1,"Comunicado ao Mercado: Fundo de Investimento Imobiliário TM notifica pagamento antecipado facultativo integral dos créditos imobiliários em 11/12/2025, com resgate total dos CRIs em 15/12/2025."
25G3333952,Aditamento de Termo de Securitização,,,12/8/2025,Ativo,Não Identificado,Neutro,0,"Alteração na cascata de pagamentos com novo procedimento de liberação de excedentes à Devedora, condicionado ao Índice de Cobertura, com transferência de recursos em até 2 dias úteis após envio de informações bancárias."
25G3333952,Aditamento de Termo de Securitização,,,8/11/2025,Ativo,Não Identificado,Neutro,0,"Aditamento: Primeiro aditamento altera anexos de despesas e condições precedentes, inclui nova cláusula de cascata de pagamentos com priorização de amortização extraordinária em caso de descumprimento de obrigação específica."
24K1255993,Aditamento de Termo de Securitização,,,12/2/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
24A2983450,Aditamento de Termo de Securitização,,,12/2/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração das definições de Banco Liquidante (Bradesco), Escriturador e Custodiante (Oliveira Trust), sem modificações no fluxo de pagamentos ou garantias da emissão."
21K0952726,Aditamento de Termo de Securitização,,,12/2/2025,Ativo,Aditamento com repactuação do fluxo de pagamento,Negativo,-1,"Aditamento: Alteração das definições de Banco Liquidante (Bradesco), Custodiante e Escriturador (Oliveira Trust), sem modificações no fluxo de pagamentos ou garantias da emissão."
24I2532795,Aditamento de Termo de Securitização,,,12/3/2025,Ativo,Não Identificado,Neutro,0,"Alteração do público-alvo dos CRI Seniores de Investidores Profissionais para Investidores Qualificados, com retirada de restrições de negociação, sem modificar demais características da emissão."
23G2098019,Fato Relevante,,,12/4/2025,Ativo,Não Identificado,Neutro,0,"Comunicado ao Mercado: Conexamerica Brasil não pagou parcela de R$ 193.858,80 de Juros Remuneratórios da Nota Comercial, impossibilitando pagamento dos Juros Remuneratórios do CRI em 02/12/2025. Valor foi recebido em Conta Escrow."
24J0003801,Aditamento de Termo de Securitização,,,12/4/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
24I1963438,Aditamento de Termo de Securitização,,,12/4/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
CRA025007K9,Aditamento de Termo de Securitização,,,12/1/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
CRA025006Y1,Aditamento de Termo de Securitização,,,12/3/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
CRA0240073N,Aditamento de Termo de Securitização,,,11/26/2025,Ativo,Não Identificado,Neutro,0,"Erro ao processar: Read timeout on endpoint URL: ""https://lambda.us-east-1.amazonaws.com/2015-03-31/functions/c2p-summarize-document-function-production/invocations"""
